mysql: [Warning] Using a password on the command line interface can be insecure.
root_ar	freq	past_3ms	present_3ms	imperative_2ms	masdar	active_participle	passive_participle
و د د	17	وَدَّ	يَوْدُّ	وَدَّ	NULL	وَادّ	مَوْدُود
ق ر ا	17	قَرَأَ	يَقْرَأُ	اِقْرَأْ	NULL	قَارِئ	مَقْرُوء
ح و ط	17	حَاطَ	يَحُوطُ	حُطْ	حَوْط	حَائِط	مَحُوط
ا ف ك	16	أَفَكَ	يَأْفِكُ	اِئْفِكْ	إفْكٌ	آفِك	مَأْفُوك
ب و ا	16	بَاءَ	يَبُوءُ	بُؤْ	بَوْأ	بَائِئ	مَبُوء
ي س ر	15	يَسَرَ	يَيْسُرُ	اُوسُرْ	NULL	يَاسِر	مَيْسُور
ع و ذ	15	عَاذَ	يَعُوذُ	عُذْ	عَوْذ	عَائِذ	مَعُوذ
ا ذ ي	15	أَذَى	يَأْذِي	اِئْذِ	أَذْي	آذٍ	مَأْذِيّ
و ع ظ	15	وَعَظَ	يَعِظُ	عِظْ	عِظَةٌ	وَاعِظ	مَوْعُوظ
ب د ا	15	بَدَأَ	يَبْدَأُ	اِبْدَأْ	NULL	بَادِئ	مَبْدُوء
م ن ي	14	مَنَى	يَمْنِي	اِمْنِ	مَنْي	مَانٍ	مَمْنِيّ
ص ف و	14	صَفَا	يَصْفُو	اُصْفُ	صَفْو	صَافٍ	مَصْفُوّ
ي ق ن	14	يَقَنَ	يَيْقُنُ	اِيقَنْ	NULL	يَاقِن	مَيْقُون
ا و ي	14	أَوَى	يَأْوِي	اِيوِ	إِيَاء	آوٍ	مَأْوِيّ
و ل ج	13	وَلَجَ	يَلِجُ	لِجْ	NULL	وَالِج	مَوْلُوج
ا ب ي	13	أَبَى	يَأْبَى	اِئْبَ	إِبَاء	آبٍ	مَأْبِيّ
خ ز ي	13	خَزَى	يَخْزَى	اِخْزَ	خَزْي	خَازٍ	مَخْزِيّ
و ص ف	13	وَصَفَ	يَصِفُ	صِفْ	وَصْف	وَاصِف	مَوْصُوف
ط غ ي	13	طَغَى	يَطْغَى	اِطْغَ	طَغْي	طَاغٍ	مَطْغِيّ
و ق ع	13	وَقَعَ	يَقَعُ	قَعْ	وَقْعٌ	وَاقِع	مَوْقُوع
ص ل و	12	صَلَا	يَصْلُو	اُصْلُ	صَلْو	صَالٍ	مَصْلُوّ
غ و ي	11	غَوَى	يَغْوِي	اِغْوِ	غَيّ	غَاوٍ	مَغْوِيّ
ه و د	11	هَادَ	يَهُودُ	هُدْ	هَوْد	هَائِد	مَهُود
و ص ل	11	وَصَلَ	يَصِلُ	صِلْ	وَصْل	وَاصِل	مَوْصُول
ف ت ي	11	فَتَى	يَفْتِي	اِفْتِ	فَتْي	فَاتٍ	مَفْتِيّ
ن و ب	11	نَابَ	يَنُوبُ	نُبْ	نَوْب	نَائِب	مَنُوب
ب ن ي	11	بَنَى	يَبْنُيُ	اُبْنُ	بَنْي	بَانٍ	مَبْنِيّ
ن ي ل	11	نَالَ	يَنَالُ	نِلْ	نَيْل	نَائِل	مَنِيل
ج ب ي	11	جَبَى	يَجْبِي	اِجْبِ	جَبْي	جَابٍ	مَجْبِيّ
ي ا س	10	يَأَسَ	يَيْؤُسُ	اُوءُسْ	NULL	يَاءِس	مَيْءُوس
م ر ي	10	مَرَى	يَمْرُيُ	اُمْرُ	مَرْي	مَارٍ	مَمْرِيّ
ز ي ل	10	زَالَ	يَزَالُ	زِلْ	زَيْل	زَائِل	مَزِيل
ض ي ع	10	ضَاعَ	يَضِيعُ	ضِعْ	ضَيْع	ضَائِع	مَضِيع
ب ر ا	10	بَرَأَ	يَبْرَأُ	اِبْرَأْ	NULL	بَارِئ	مَبْرُوء
ح ي ق	10	حَاقَ	يَحِيقُ	حِقْ	حَيْق	حَائِق	مَحِيق
ح ص ي	10	حَصَى	يَحْصِي	اِحْصِ	حَصْي	حَاصٍ	مَحْصِيّ
ط و ف	10	طَافَ	يَطُوفُ	طُفْ	طَوْف	طَائِف	مَطُوف
ر ي ب	9	رَابَ	يَرِيبُ	رِبْ	رَيْب	رَائِب	مَرِيب
ه و ي	9	هَوَى	يَهْوِي	اُهْوُ	هَوًى	هَاوٍ	مَهْوِيّ
ا ي د	9	آدَ	يَئِيدُ	إِدْ	أَيْد	آئِد	مَأِيد
م ل و	9	مَلَا	يَمْلُو	اُمْلُ	مَلْو	مَالٍ	مَمْلُوّ
و ل د	9	وَلَدَ	يَلِدُ	لِدْ	وِلاَدَةٌ	وَالِد	مَوْلُود
ع ط و	9	عَطَا	يَعْطُو	اُعْطُ	عَطْو	عَاطٍ	مَعْطُوّ
ف د ي	9	فَدَى	يَفْدِي	اِفْدِ	فَدْي	فَادٍ	مَفْدِيّ
خ و ض	9	خَاضَ	يَخُوضُ	خُضْ	خَوْض	خَائِض	مَخُوض
ر م ي	9	رَمَى	يَرْمِي	اِرْمِ	رَمْي	رَامٍ	مَرْمِيّ
ف ي ض	9	فَاضَ	يَفِيضُ	فِضْ	فَيْض	فَائِض	مَفِيض
ك ي د	8	كَادَ	يَكِيدُ	كِدْ	كَيْد	كَائِد	مَكِيد
ش ه و	8	شَهَا	يَشْهُو	اُشْهُ	شَهْو	شَاهٍ	مَشْهُوّ
ع و ن	8	عَانَ	يَعُونُ	عُنْ	عَوْن	عَائِن	مَعُون
ض ي ق	8	ضَاقَ	يَضِيقُ	ضِقْ	ضَيْق	ضَائِق	مَضِيق
س م و	8	سَمَا	يَسْمُو	اُسْمُ	سَمْو	سَامٍ	مَسْمُوّ
ر ب و	8	رَبَا	يَرْبُو	اُرْبُ	رَبْو	رَابٍ	مَرْبُوّ
ع م ي	8	عَمَى	يَعْمَى	اِعْمَ	عَمْي	عَامٍ	مَعْمِيّ
ج و ر	8	جَارَ	يَجُورُ	جُرْ	جَوْر	جَائِر	مَجُور
ز ي غ	8	زَاغَ	يَزِيغُ	زِغْ	زَيْغ	زَائِغ	مَزِيغ
س ر ي	7	سَرَى	يَسْرِي	اِسْرِ	سَرْي	سَارٍ	مَسْرِيّ
و ز ر	7	وَزَرَ	يَزِرُ	زِرْ	وِزَارَةٌ	وَازِر	مَوْزُور
س و ق	7	سَاقَ	يَسُوقُ	سُقْ	سَوْق	سَائِق	مَسُوق
د و م	7	دَامَ	يَدُومُ	دُمْ	دَوْم	دَائِم	مَدُوم
ف ي ا	7	فَاءَ	يَفِيءُ	فِئْ	فَيْأ	فَائِئ	مَفِيأ
ب ي ع	7	بَاعَ	يَبِيعُ	بِعْ	بَيْع	بَائِع	مَبِيع
و ر ي	7	وَرَى	يَرِي	رِ	وَرْي	وَارٍ	مَوْرِيّ
خ و ن	7	خَانَ	يَخُونُ	خُنْ	خَوْن	خَائِن	مَخُون
م ل ا	7	مَلَأَ	يَمْلَأُ	اِمْلَأْ	NULL	مَالِئ	مَمْلُوء
ا ث ر	6	أَثَرَ	يَأْثُرُ	اُؤْثُرْ	NULL	آثِر	مَأْثُور
و ق د	6	وَقَدَ	يَقِدُ	قِدْ	NULL	وَاقِد	مَوْقُود
و س ع	6	وَسَعَ	يَسَعُ	اُوسُعْ	وُسْعٌ	وَاسِع	مَوْسُوع
ا ن س	6	أَنَسَ	يَأْنُسُ	اُؤْنُسْ	NULL	آنِس	مَأْنُوس
خ ي ر	6	خَارَ	يَخِيرُ	خِرْ	خَيْر	خَائِر	مَخِير
ب ك ي	6	بَكَى	يَبْكُيُ	اُبْكُ	بَكْي	بَاكٍ	مَبْكِيّ
ذ ر ا	6	ذَرَأَ	يَذْرَأُ	اِذْرَأْ	NULL	ذَارِئ	مَذْرُوء
غ ي ر	5	غَارَ	يَغِيرُ	غِرْ	غَيْر	غَائِر	مَغِير
ر د ي	5	رَدَى	يَرْدَى	اِرْدَ	رَدْي	رَادٍ	مَرْدِيّ
ع ث و	5	عَثَا	يَعْثَوُ	اِعْثَ	عَثْو	عَاثٍ	مَعْثُوّ
ث و ر	5	ثَارَ	يَثُورُ	ثُرْ	ثَوْر	ثَائِر	مَثُور
ص و ر	5	صَارَ	يَصُورُ	صُرْ	صَوْر	صَائِر	مَصُور
ج و ز	5	جَازَ	يَجُوزُ	جُزْ	جَوْز	جَائِز	مَجُوز
ز و ج	5	زَاجَ	يَزُوجُ	زُجْ	زَوْج	زَائِج	مَزُوج
غ و ث	5	غَاثَ	يَغُوثُ	غُثْ	غَوْث	غَائِث	مَغُوث
و ز ع	5	وَزَعَ	يَزَعُ	زَعْ	NULL	وَازِع	مَوْزُوع
ل ه و	5	لَهَا	يَلْهُو	اُلْهُ	لَهْو	لَاهٍ	مَلْهُوّ
د ر ا	5	دَرَأَ	يَدْرَأُ	اِدْرَأْ	NULL	دَارِئ	مَدْرُوء
ق ف و	5	قَفَا	يَقْفُو	اُقْفُ	قَفْو	قَافٍ	مَقْفُوّ
ب ي ت	5	بَاتَ	يَبِيتُ	بِتْ	بَيْت	بَائِت	مَبِيت
ع ت و	5	عَتَا	يَعْتُو	اُعْتُ	عَتْو	عَاتٍ	مَعْتُوّ
ا ل ف	5	أَلَفَ	يَأْلُفُ	اُؤْلُفْ	NULL	آلِف	مَأْلُوف
و ه ن	5	وَهَنَ	يَهِنُ	هِنْ	وَهْنٌ	وَاهِن	مَوْهُون
س و م	5	سَامَ	يَسُومُ	سُمْ	سَوْم	سَائِم	مَسُوم
ا د ي	5	أَدَى	يَأْدِي	اِئْدِ	أَدْي	آدٍ	مَأْدِيّ
ا س و	4	أَسَا	يَأْسَوُ	اِئْسَ	أَسْو	آسٍ	مَأْسُوّ
ر ع ي	4	رَعَى	يَرْعَى	اِرْعِ	رَعْي	رَاعٍ	مَرْعِيّ
ه ا ت	4	هَأَتَ	يَهْؤُتُ	اُهْؤُتْ	NULL	هَاءِت	مَهْءُوت
ل و م	4	لَامَ	يَلُومُ	لُمْ	لَوْم	لَائِم	مَلُوم
خ ي ب	4	خَابَ	يَخِيبُ	خِبْ	خَيْبَة	خَائِب	مَخِيب
ج ل و	4	جَلَا	يَجْلُو	اُجْلُ	جَلْو	جَالٍ	مَجْلُوّ
و ط ا	4	وَطَأَ	يَطَأُ	طَأْ	NULL	وَاطِئ	مَوْطُوء
م ض ي	4	مَضَى	يَمْضِي	اِمْضِ	مُضِيّ	مَاضٍ	مَمْضِيّ
ش ق و	4	شَقَا	يَشْقَوُ	اِشْقَ	شَقْو	شَاقٍ	مَشْقُوّ
ك ي ل	4	كَالَ	يَكِيلُ	كِلْ	كَيْل	كَائِل	مَكِيل
س و ل	4	سَالَ	يَسُولُ	سُلْ	سَوْل	سَائِل	مَسُول
و س و س	4	وَسْوَسَ	يُوَسْوِسُ	وَسْوِسْ	وَسْوَسَة	مُوَسْوِس	مُوَسْوَس
ل و ي	4	لَوَى	يَلْوِي	اُلْوُ	لَوْي	لَاوٍ	مَلُوي
ح ل ي	4	حَلَى	يَحْلِي	اِحْلِ	حَلْي	حَالٍ	مَحْلِيّ
ب ق ي	4	بَقَى	يَبْقَى	اِبْقَ	بَقْي	بَاقٍ	مَبْقِيّ
ط و ل	4	طَالَ	يَطُولُ	طُلْ	طَوْل	طَائِل	مَطُول
م ي ز	4	مَازَ	يَمِيزُ	مِزْ	مَيْز	مَائِز	مَمِيز
ط ي ر	4	طَارَ	يَطِيرُ	طِرْ	طَيْر	طَائِر	مَطِير
ث و ب	4	ثَابَ	يَثُوبُ	ثُبْ	ثَوْب	ثَائِب	مَثُوب
ك و ر	3	كَارَ	يَكُورُ	كُرْ	كَوْر	كَائِر	مَكُور
م ي ل	3	مَالَ	يَمِيلُ	مِلْ	مَيْل	مَائِل	مَمِيل
ا ل م	3	أَلَمَ	يَأْلَمُ	اِئْلَمْ	ألَمٌ	آلِم	مَأْلُوم
ي م م	3	يَمَّ	يَوُمُّ	اُومُمْ	NULL	يَامّ	مَيْمُوم
ف و ر	3	فَارَ	يَفُورُ	فُرْ	فَوْر	فَائِر	مَفُور
ض و ا	3	ضَاءَ	يَضُوءُ	ضُؤْ	ضَوْأ	ضَائِئ	مَضُوء
و ع ي	3	وَعَى	يَعِي	عِ	وَعْي	وَاعٍ	مَوْعِيّ
ز و ل	3	زَالَ	يَزُولُ	زُلْ	زَوْل	زَائِل	مَزُول
غ د و	3	غَدَا	يَغْدُو	اُغْدُ	غَدْو	غَادٍ	مَغْدُوّ
ط ف ا	3	طَفَأَ	يَطْفُؤُ	اُطْفُؤْ	NULL	طَافِئ	مَطْفُوء
س ا م	3	سَأَمَ	يَسْؤُمُ	اُسْؤُمْ	NULL	سَاءِم	مَسْءُوم
و ج ل	3	وَجَلَ	يَجَلُ	جَلْ	وَجَلٌ	وَاجِل	مَوْجُول
ح و ل	3	حَالَ	يَحُولُ	حُلْ	حَوْل	حَائِل	مَحُول
و ق ف	3	وَقَفَ	يَقِفُ	قِفْ	وَقْف	وَاقِف	مَوْقُوف
و ج ه	3	وَجَهَ	يَوْجُهُ	اُوجُهْ	NULL	وَاجِه	مَوْجُوه
ا س س	3	أَسَّ	يَؤُسُّ	اُؤْسُسْ	NULL	آسّ	مَأْسُوس
ط ي ب	3	طَابَ	يَطِيبُ	طِبْ	طَيْب	طَائِب	مَطِيب
ن ا ي	3	نَأَى	يَنْئِي	اِنْئِ	نَءْي	نَاءٍ	مَنْءِيّ
ب ي ض	3	بَاضَ	يَبِيضُ	بِضْ	بَيْض	بَائِض	مَبِيض
و ر د	3	وَرَدَ	يَرِدُ	رِدْ	وُرُود	وَارِد	مَوْرُود
ج ا ر	3	جَأَرَ	يَجْؤُرُ	اُجْؤُرْ	NULL	جَاءِر	مَجْءُور
ا ل و	3	أَلَا	يَأْلُو	اُؤْلُ	أَلْو	آلٍ	مَأْلُوّ
خ و ل	3	خَالَ	يَخُولُ	خُلْ	خَوْل	خَائِل	مَخُول
ف و ز	3	فَازَ	يَفُوزُ	فُزْ	فَوْز	فَائِز	مَفُوز
ل ي ن	3	لَانَ	يَلِينُ	لِنْ	لَيْن	لَائِن	مَلِين
ا ج ر	3	أَجَرَ	يَأْجُرُ	اُؤْجُرْ	NULL	آجِر	مَأْجُور
ك س و	3	كَسَا	يَكْسُو	اُكْسُ	كَسْو	كَاسٍ	مَكْسُوّ
و ج س	3	وَجَسَ	يَجِسُ	جِسْ	NULL	وَاجِس	مَوْجُوس
ح و ر	3	حَارَ	يَحُورُ	حُرْ	حَوْر	حَائِر	مَحُور
ا ف ل	3	أَفَلَ	يَأْفُلُ	اُؤْفُلْ	أُفُولٌ	آفِل	مَأْفُول
غ ي ظ	3	غَاظَ	يَغِيظُ	غِظْ	غَيْظ	غَائِظ	مَغِيظ
و ز ن	3	وَزَنَ	يَزِنُ	زِنْ	وَزْنٌ	وَازِن	مَوْزُون
ل ف و	3	لَفَا	يَلْفُو	اُلْفُ	لَفْو	لَافٍ	مَلْفُوّ
ف و ت	3	فَاتَ	يَفُوتُ	فُتْ	فَوْت	فَائِت	مَفُوت
ر و غ	3	رَاغَ	يَرُوغُ	رُغْ	رَوْغ	رَائِغ	مَرُوغ
م ح و	3	مَحَا	يَمْحُو	اُمْحُ	مَحْو	مَاحٍ	مَمْحُوّ
ق س و	3	قَسَا	يَقْسُو	اُقْسُ	قَسْو	قَاسٍ	مَقْسُوّ
د ل و	3	دَلَا	يَدْلُو	اُدْلُ	دَلْو	دَالٍ	مَدْلُوّ
م ي د	3	مَادَ	يَمِيدُ	مِدْ	مَيْد	مَائِد	مَمِيد
ش ف ي	2	شَفَى	يَشْفِي	اِشْفِ	شِفَاء	شَافٍ	مَشْفِيّ
و ك ا	2	وَكَأَ	يَوْكُؤُ	اُوكُؤْ	NULL	وَاكِئ	مَوْكُوء
س و د	2	سَادَ	يَسُودُ	سُدْ	سَوْد	سَائِد	مَسُود
س ي ل	2	سَالَ	يَسِيلُ	سِلْ	سَيْل	سَائِل	مَسِيل
ه ي ج	2	هَاجَ	يَهِيجُ	هِجْ	هَيْج	هَائِج	مَهِيج
د ن و	2	دَنَا	يَدْنِوُ	اِدْنِ	دَنْو	دَانٍ	مَدْنُوّ
غ ل و	2	غَلَا	يَغْلُو	اُغْلُ	غَلْو	غَالٍ	مَغْلُوّ
ح و ذ	2	حَاذَ	يَحُوذُ	حُذْ	حَوْذ	حَائِذ	مَحُوذ
ط و ق	2	طَاقَ	يَطُوقُ	طُقْ	طَوْق	طَائِق	مَطُوق
ب و ر	2	بَارَ	يَبُورُ	بُرْ	بَوْر	بَائِر	مَبُور
و د ع	2	وَدَعَ	يَوْدُعُ	اُودُعْ	وَدَاعَةٌ	وَادِع	مَوْدُوع
غ ي ض	2	غَاضَ	يَغِيضُ	غِضْ	غَيْض	غَائِض	مَغِيض
ش و ر	2	شَارَ	يَشُورُ	شُرْ	شَوْر	شَائِر	مَشُور
ث ن ي	2	ثَنَى	يَثْنُيُ	اُثْنُ	ثَنْي	ثَانٍ	مَثْنِيّ
ص غ و	2	صَغَا	يَصْغَوُ	اِصْغَ	صَغْو	صَاغٍ	مَصْغُوّ
ر ق ي	2	رَقَى	يَرْقَى	اِرْقَ	رَقْي	رَاقٍ	مَرْقِيّ
ص و م	2	صَامَ	يَصُومُ	صُمْ	صَوْم	صَائِم	مَصُوم
ه ي ا	2	هَاءَ	يَهِيءُ	هِئْ	هَيْأ	هَائِئ	مَهِيأ
غ ر و	2	غَرَا	يَغْرُو	اُغْرُ	غَرْو	غَارٍ	مَغْرُوّ
د و ر	2	دَارَ	يَدُورُ	دُرْ	دَوْر	دَائِر	مَدُور
و ث ق	2	وَثَقَ	يَوْثُقُ	اُوثُقْ	NULL	وَاثِق	مَوْثُوق
د ي ن	2	دَانَ	يَدِينُ	دِنْ	دَيْن	دَائِن	مَدِين
م و ر	2	مَارَ	يَمُورُ	مُرْ	مَوْر	مَائِر	مَمُور
ش ك و	2	شَكَا	يَشْكُو	اُشْكُ	شَكْو	شَاكٍ	مَشْكُوّ
ك ي ن	2	كَانَ	يَكِينُ	كِنْ	كَيْن	كَائِن	مَكِين
خ ط ا	2	خَطَأَ	يَخْطُؤُ	اُخْطُؤْ	NULL	خَاطِئ	مَخْطُوء
و س ق	2	وَسَقَ	يَسِقُ	سِقْ	وَسْقٌ	وَاسِق	مَوْسُوق
ه و ن	2	هَانَ	يَهُونُ	هُنْ	هَوْن	هَائِن	مَهُون
ز ج و	2	زَجَا	يَزْجُو	اُزْجُ	زَجْو	زَاجٍ	مَزْجُوّ
ز ن ي	2	زَنَى	يَزْنُيُ	اُزْنُ	زَنْي	زَانٍ	مَزْنِيّ
ز و ر	2	زَارَ	يَزُورُ	زُرْ	زَوْر	زَائِر	مَزُور
ع ي ي	2	عَيَّ	يَعْيَا	اِعْيِ	عَيْي	عَائٍ	مَعِيي
ا ج ل	2	أَجَلَ	يَأْجُلُ	اُؤْجُلْ	NULL	آجِل	مَأْجُول
ق ي ض	2	قَاضَ	يَقِيضُ	قِضْ	قَيْض	قَائِض	مَقِيض
ا س ر	1	أَسَرَ	يَأْسِرُ	اِئْسِرْ	أَسْرٌ	آسِر	مَأْسُور
